Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Tests),Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Asset type),Custom field (Asset type),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Priority),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
 Verify if user can check wishlist from “my concern” section.,MAG-39,16589,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 6:41 PM,23/Apr/24 1:39 PM,12/Jul/24 9:16 PM,15/Mar/24 1:40 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My concern"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42adf6ad,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzr,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_68297584_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:40 PM
 Verify if user can check returned orders from “my orders”  field.,MAG-38,16588,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 6:40 PM,23/Apr/24 1:39 PM,12/Jul/24 9:16 PM,15/Mar/24 1:39 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My orders"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43762ea7,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzi,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_68393258_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:39 PM
Verify if user can check review orders from “my orders”  field.,MAG-37,16587,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 6:38 PM,23/Apr/24 1:39 PM,12/Jul/24 9:16 PM,15/Mar/24 1:39 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My orders"" section.

 ",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@317aa777,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzz,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_68469558_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:39 PM
Verify if user can check shipped orders from “my orders”  field.,MAG-36,16586,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 6:37 PM,23/Apr/24 1:38 PM,12/Jul/24 9:16 PM,15/Mar/24 1:39 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My orders"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d4b1a83,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzy,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_68556098_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:39 PM
 Verify if user can check processing orders from “my orders”  field.,MAG-35,16585,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 6:35 PM,23/Apr/24 1:38 PM,12/Jul/24 9:16 PM,15/Mar/24 1:39 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My orders"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b9f4dce,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzx,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_68643615_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:39 PM
Verify if user can check unpaid orders from “my orders”  field.,MAG-34,16584,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 6:33 PM,23/Apr/24 1:38 PM,12/Jul/24 9:16 PM,15/Mar/24 1:39 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My orders"" section..",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58f5039f,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzv,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_68730611_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:39 PM
Verify if user can check all orders from “my orders”  field.,MAG-33,16583,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 6:31 PM,23/Apr/24 1:16 PM,12/Jul/24 9:16 PM,15/Mar/24 1:39 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My orders"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55fdbdf6,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzr,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_68839050_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:39 PM
 Verify if user can use gift card from “my assets” section.,MAG-32,16582,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 6:15 PM,23/Apr/24 1:15 PM,12/Jul/24 9:16 PM,15/Mar/24 1:39 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My assets"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b88bf5b,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzi,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_69824003_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:39 PM
Verify if user can use wallet from “my assets” section.,MAG-31,16581,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 5:56 PM,23/Apr/24 1:15 PM,12/Jul/24 9:16 PM,15/Mar/24 1:39 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My assets"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62f2018e,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzz,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_70978781_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:39 PM
Verify if user can check points from “my assets” section. ,MAG-30,16580,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 5:52 PM,23/Apr/24 1:14 PM,12/Jul/24 9:16 PM,15/Mar/24 1:38 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""My assets"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60b2598f,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzy,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_71202281_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:38 PM
Verify if user can use coupons from “my assets” section.,MAG-29,16577,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 5:06 PM,23/Apr/24 1:08 PM,12/Jul/24 9:16 PM,15/Mar/24 1:11 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""My account"" section click on ""Manage my account""",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f7687b1,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzx,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_72297103_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:11 PM
Verify if user can download his information from the “Manage my account”section,MAG-28,16576,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 4:49 PM,23/Apr/24 1:06 PM,12/Jul/24 9:16 PM,15/Mar/24 1:11 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""My account"" section click on ""Manage my account""",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1a8b258d,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzv,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_73280372_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:11 PM
Verify if user can change password from the “Manage my account”section.,MAG-27,16575,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 4:37 PM,23/Apr/24 12:59 PM,12/Jul/24 9:16 PM,15/Mar/24 1:10 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""My account"" section click on ""Manage my account""",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ff14f88,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzr,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_73978626_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:10 PM
Verify if user can add phone number from the “Manage my account”section.,MAG-26,16574,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 4:17 PM,23/Apr/24 12:56 PM,12/Jul/24 9:16 PM,15/Mar/24 1:10 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""My account"" section click on ""Manage my account"".",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30575e62,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzi,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_75203185_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:10 PM
Verify if user can verify  the email from the “Manage my account” section,MAG-25,16572,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 4:06 PM,23/Apr/24 12:56 PM,12/Jul/24 9:16 PM,15/Mar/24 1:10 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""My account"" section click on ""Manage my account"".",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25dbf9e8,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azz,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_75826993_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:10 PM
